"´úÂë","¼ò³Æ","Ê±¼ä","¿ªÅÌ¼Û(Ôª)","ÊÕÅÌ¼Û(Ôª)","×î¸ß¼Û(Ôª)","×îµÍ¼Û(Ôª)","ÕÇµø(Ôª)","ÕÇµø·ù(%)","Ç°ÊÕÅÌ¼Û(Ôª)"
"002561.SZ","Ðì¼Ò»ã","2011-03-03","21.1000","20.9300","22.4800","20.0300","4.9300","30.8125","16.0000"
"002561.SZ","Ðì¼Ò»ã","2011-03-04","20.1900","21.8300","22.8700","20.0800","0.9000","4.3000","20.9300"
"002561.SZ","Ðì¼Ò»ã","2011-03-07","21.6000","21.0800","21.6900","20.8000","-0.7500","-3.4356","21.8300"
"002561.SZ","Ðì¼Ò»ã","2011-03-09","20.7200","20.9900","21.2800","20.5000","0.3400","1.6465","20.6500"
"002561.SZ","Ðì¼Ò»ã","2011-03-10","21.0000","20.4500","21.1000","20.4000","-0.5400","-2.5726","20.9900"
"002561.SZ","Ðì¼Ò»ã","2011-03-11","20.2800","20.4900","20.8000","20.1600","0.0400","0.1956","20.4500"
"002561.SZ","Ðì¼Ò»ã","2011-03-14","20.3000","20.1400","20.4900","19.9000","-0.3500","-1.7082","20.4900"
"002561.SZ","Ðì¼Ò»ã","2011-03-15","20.0900","19.7700","20.1300","19.5000","-0.3700","-1.8371","20.1400"
"002561.SZ","Ðì¼Ò»ã","2011-03-16","19.7500","19.9300","20.0500","19.7000","0.1600","0.8093","19.7700"
"002561.SZ","Ðì¼Ò»ã","2011-03-17","19.7900","19.2300","19.7900","19.2200","-0.7000","-3.5123","19.9300"
"002561.SZ","Ðì¼Ò»ã","2011-03-18","19.3400","19.8000","19.9800","19.3000","0.5700","2.9641","19.2300"
"002561.SZ","Ðì¼Ò»ã","2011-03-21","19.8000","19.7100","19.8800","19.5300","-0.0900","-0.4545","19.8000"
"002561.SZ","Ðì¼Ò»ã","2011-03-22","19.8300","20.3500","20.3800","19.6700","0.6400","3.2471","19.7100"
"002561.SZ","Ðì¼Ò»ã","2011-03-23","20.3800","20.1900","20.4200","19.9400","-0.1600","-0.7862","20.3500"
"002561.SZ","Ðì¼Ò»ã","2011-03-24","20.1600","19.6800","20.2100","19.6800","-0.5100","-2.5260","20.1900"
"002561.SZ","Ðì¼Ò»ã","2011-03-25","19.6800","19.6500","19.8500","19.6000","-0.0300","-0.1524","19.6800"
"002561.SZ","Ðì¼Ò»ã","2011-03-28","19.7000","19.5100","19.7400","19.4300","-0.1400","-0.7125","19.6500"
"002561.SZ","Ðì¼Ò»ã","2011-03-29","19.5100","19.2600","19.5100","19.2000","-0.2500","-1.2814","19.5100"
"002561.SZ","Ðì¼Ò»ã","2011-03-30","19.2600","19.3400","19.5700","19.2600","0.0800","0.4154","19.2600"
"002561.SZ","Ðì¼Ò»ã","2011-03-31","19.3400","18.9000","19.4700","18.6500","-0.4400","-2.2751","19.3400"
"002561.SZ","Ðì¼Ò»ã","2011-04-01","18.8800","19.0200","19.1300","18.7200","0.1200","0.6349","18.9000"
"002561.SZ","Ðì¼Ò»ã","2011-04-06","18.9200","18.7800","18.9200","18.7000","-0.2400","-1.2618","19.0200"
"002561.SZ","Ðì¼Ò»ã","2011-04-07","18.6800","18.9900","19.0600","18.6600","0.2100","1.1182","18.7800"
"002561.SZ","Ðì¼Ò»ã","2011-04-08","18.9500","18.9300","18.9500","18.7700","-0.0600","-0.3160","18.9900"
"002561.SZ","Ðì¼Ò»ã","2011-04-11","18.8200","18.6900","19.0200","18.6700","-0.2400","-1.2678","18.9300"
"002561.SZ","Ðì¼Ò»ã","2011-04-12","18.5700","18.4400","18.6500","18.3400","-0.2500","-1.3376","18.6900"
"002561.SZ","Ðì¼Ò»ã","2011-04-13","18.4100","18.9100","18.9800","18.3500","0.4700","2.5488","18.4400"
"002561.SZ","Ðì¼Ò»ã","2011-04-14","18.8800","18.6400","18.9000","18.5500","-0.2700","-1.4278","18.9100"
"002561.SZ","Ðì¼Ò»ã","2011-04-15","18.6400","18.5300","18.8000","18.4400","-0.1100","-0.5901","18.6400"
"002561.SZ","Ðì¼Ò»ã","2011-04-18","18.5900","18.9300","18.9800","18.5400","0.4000","2.1587","18.5300"
"002561.SZ","Ðì¼Ò»ã","2011-04-19","18.9000","18.6800","18.9000","18.5600","-0.2500","-1.3207","18.9300"
"002561.SZ","Ðì¼Ò»ã","2011-04-20","18.7500","18.7100","18.8000","18.6100","0.0300","0.1606","18.6800"
"002561.SZ","Ðì¼Ò»ã","2011-04-21","18.7100","18.8700","18.9000","18.7000","0.1600","0.8552","18.7100"
"002561.SZ","Ðì¼Ò»ã","2011-04-22","18.8800","18.5500","18.8900","18.5000","-0.3200","-1.6958","18.8700"
"002561.SZ","Ðì¼Ò»ã","2011-04-25","18.6100","18.3500","18.6700","18.2800","-0.2000","-1.0782","18.5500"
"002561.SZ","Ðì¼Ò»ã","2011-04-26","18.3800","18.4400","18.5000","18.3000","0.0900","0.4905","18.3500"
"002561.SZ","Ðì¼Ò»ã","2011-04-27","18.4600","17.7000","18.6300","17.5200","-0.7400","-4.0130","18.4400"
"002561.SZ","Ðì¼Ò»ã","2011-04-28","17.8000","16.6800","17.8800","16.6600","-1.0200","-5.7627","17.7000"
"002561.SZ","Ðì¼Ò»ã","2011-04-29","16.7000","16.9000","16.9500","16.6700","0.2200","1.3189","16.6800"
"002561.SZ","Ðì¼Ò»ã","2011-05-03","16.9000","16.9200","16.9900","16.6800","0.0200","0.1183","16.9000"
"002561.SZ","Ðì¼Ò»ã","2011-05-04","16.8900","16.4000","16.8900","16.2700","-0.5200","-3.0733","16.9200"
"002561.SZ","Ðì¼Ò»ã","2011-05-05","16.2700","16.4400","16.5300","16.2600","0.0400","0.2439","16.4000"
"002561.SZ","Ðì¼Ò»ã","2011-05-06","16.4000","16.6000","16.6900","16.3000","0.1600","0.9732","16.4400"
"002561.SZ","Ðì¼Ò»ã","2011-05-09","16.6000","16.8700","16.9300","16.5300","0.2700","1.6265","16.6000"
"002561.SZ","Ðì¼Ò»ã","2011-05-10","16.7900","16.7400","16.8700","16.6300","-0.1300","-0.7706","16.8700"
"002561.SZ","Ðì¼Ò»ã","2011-05-11","16.6600","16.7000","16.7700","16.6600","-0.0400","-0.2389","16.7400"
"002561.SZ","Ðì¼Ò»ã","2011-05-12","16.7300","16.3500","16.7300","16.3500","-0.3500","-2.0958","16.7000"
"002561.SZ","Ðì¼Ò»ã","2011-05-13","16.3500","16.6000","16.6000","16.2500","0.2500","1.5291","16.3500"
"002561.SZ","Ðì¼Ò»ã","2011-05-16","16.6000","16.7800","16.9800","16.5700","0.1800","1.0843","16.6000"
"002561.SZ","Ðì¼Ò»ã","2011-05-17","16.7400","16.6400","16.7600","16.4000","-0.1400","-0.8343","16.7800"
"002561.SZ","Ðì¼Ò»ã","2011-05-18","16.6400","16.6400","16.7000","16.5500","0.0000","0.0000","16.6400"
"002561.SZ","Ðì¼Ò»ã","2011-05-19","16.7100","16.7200","16.8100","16.6200","0.0800","0.4808","16.6400"
"002561.SZ","Ðì¼Ò»ã","2011-05-20","16.7000","16.4600","16.7200","16.3800","-0.2600","-1.5550","16.7200"
"002561.SZ","Ðì¼Ò»ã","2011-05-23","16.4000","15.7800","16.4000","15.7700","-0.6800","-4.1312","16.4600"
"002561.SZ","Ðì¼Ò»ã","2011-05-24","15.7300","15.8100","15.8100","15.4300","0.0300","0.1901","15.7800"
"002561.SZ","Ðì¼Ò»ã","2011-05-25","15.7900","15.3100","15.7900","15.3000","-0.5000","-3.1626","15.8100"
"002561.SZ","Ðì¼Ò»ã","2011-05-26","15.4100","15.3200","15.5000","15.3200","0.0100","0.0653","15.3100"
"002561.SZ","Ðì¼Ò»ã","2011-05-27","15.3500","15.4000","15.4900","15.0900","0.0800","0.5222","15.3200"
"002561.SZ","Ðì¼Ò»ã","2011-05-30","15.2800","15.3200","15.5500","15.1800","-0.0800","-0.5195","15.4000"
"002561.SZ","Ðì¼Ò»ã","2011-05-31","15.3300","15.5500","15.5500","15.3100","0.2300","1.5013","15.3200"
"002561.SZ","Ðì¼Ò»ã","2011-06-01","15.5100","16.1300","16.2800","15.4700","0.5800","3.7299","15.5500"
"002561.SZ","Ðì¼Ò»ã","2011-06-02","15.8800","15.4800","15.8800","15.4800","-0.6500","-4.0298","16.1300"
"002561.SZ","Ðì¼Ò»ã","2011-06-03","15.4700","15.5300","15.6500","15.4100","0.0500","0.3230","15.4800"
"002561.SZ","Ðì¼Ò»ã","2011-06-07","15.4800","16.0800","16.1400","15.2500","0.5500","3.5415","15.5300"
"002561.SZ","Ðì¼Ò»ã","2011-06-08","15.9000","16.1900","16.3500","15.7300","0.1100","0.6841","16.0800"
"002561.SZ","Ðì¼Ò»ã","2011-06-09","16.2200","16.1600","16.4800","16.0000","-0.0300","-0.1853","16.1900"
"002561.SZ","Ðì¼Ò»ã","2011-06-10","15.9700","15.6000","15.9900","15.4000","-0.5600","-3.4653","16.1600"
"002561.SZ","Ðì¼Ò»ã","2011-06-13","15.4300","15.2700","15.4300","15.0700","-0.3300","-2.1154","15.6000"
"002561.SZ","Ðì¼Ò»ã","2011-06-14","15.1700","15.3900","15.5000","15.1700","0.1200","0.7859","15.2700"
"002561.SZ","Ðì¼Ò»ã","2011-06-15","15.4000","15.1700","15.4700","15.1700","-0.2200","-1.4295","15.3900"
"002561.SZ","Ðì¼Ò»ã","2011-06-16","15.1700","15.0500","15.3200","15.0500","-0.1200","-0.7910","15.1700"
"002561.SZ","Ðì¼Ò»ã","2011-06-17","14.9500","14.7600","15.1400","14.7400","-0.2900","-1.9269","15.0500"
"002561.SZ","Ðì¼Ò»ã","2011-06-20","14.6000","14.4600","14.7500","14.4000","-0.3000","-2.0325","14.7600"
"002561.SZ","Ðì¼Ò»ã","2011-06-21","14.4600","14.4600","14.4600","14.4600","","","14.4600"
"002561.SZ","Ðì¼Ò»ã","2011-06-22","14.6600","14.6000","14.7800","14.5800","0.1400","0.9682","14.4600"
"002561.SZ","Ðì¼Ò»ã","2011-06-23","14.6100","15.1800","15.3300","14.5600","0.5800","3.9726","14.6000"
"002561.SZ","Ðì¼Ò»ã","2011-06-24","15.0900","15.5700","15.7200","15.0600","0.3900","2.5692","15.1800"
"002561.SZ","Ðì¼Ò»ã","2011-06-27","15.5700","15.4400","15.7500","15.4100","-0.1300","-0.8349","15.5700"
"002561.SZ","Ðì¼Ò»ã","2011-06-28","15.4600","15.5000","15.5800","15.3700","0.0600","0.3886","15.4400"
"002561.SZ","Ðì¼Ò»ã","2011-06-29","15.5300","15.1500","15.5700","15.1500","-0.3500","-2.2581","15.5000"
"002561.SZ","Ðì¼Ò»ã","2011-06-30","15.1500","15.3100","15.4200","15.1500","0.1600","1.0561","15.1500"
"002561.SZ","Ðì¼Ò»ã","2011-07-01","15.3600","15.4400","15.5800","15.3400","0.1300","0.8491","15.3100"
"002561.SZ","Ðì¼Ò»ã","2011-07-04","15.4500","15.7600","15.8900","15.4500","0.3200","2.0725","15.4400"
"002561.SZ","Ðì¼Ò»ã","2011-07-05","15.7800","15.9000","16.0800","15.7300","0.1400","0.8883","15.7600"
"002561.SZ","Ðì¼Ò»ã","2011-07-06","15.9100","15.9800","16.0600","15.7100","0.0800","0.5031","15.9000"
"002561.SZ","Ðì¼Ò»ã","2011-07-07","15.9600","16.1800","16.3200","15.8900","0.2000","1.2516","15.9800"
"002561.SZ","Ðì¼Ò»ã","2011-07-08","16.1000","15.9700","16.3400","15.6600","-0.2100","-1.2979","16.1800"
"002561.SZ","Ðì¼Ò»ã","2011-07-11","15.9100","15.8000","15.9500","15.6800","-0.1700","-1.0645","15.9700"
"002561.SZ","Ðì¼Ò»ã","2011-07-12","15.7400","15.7900","15.8700","15.5200","-0.0100","-0.0633","15.8000"
"002561.SZ","Ðì¼Ò»ã","2011-07-13","15.7500","16.5000","16.5400","15.7500","0.7100","4.4965","15.7900"
"002561.SZ","Ðì¼Ò»ã","2011-07-14","16.4100","16.5500","16.7000","16.3500","0.0500","0.3030","16.5000"
"002561.SZ","Ðì¼Ò»ã","2011-07-15","16.5500","16.4800","16.8500","16.4500","-0.0700","-0.4230","16.5500"
"002561.SZ","Ðì¼Ò»ã","2011-07-18","16.4900","16.5300","16.7800","16.4500","0.0500","0.3034","16.4800"
"002561.SZ","Ðì¼Ò»ã","2011-07-19","16.4600","16.2200","16.6300","16.2100","-0.3100","-1.8754","16.5300"
"002561.SZ","Ðì¼Ò»ã","2011-07-20","16.3000","16.4400","16.4800","16.1000","0.2200","1.3564","16.2200"
"002561.SZ","Ðì¼Ò»ã","2011-07-21","16.4700","16.1600","16.4900","16.1500","-0.2800","-1.7032","16.4400"
"002561.SZ","Ðì¼Ò»ã","2011-07-22","16.2200","16.2200","16.4000","16.1600","0.0600","0.3713","16.1600"
"002561.SZ","Ðì¼Ò»ã","2011-07-25","16.2200","15.2900","16.2200","15.2200","-0.9300","-5.7337","16.2200"
"002561.SZ","Ðì¼Ò»ã","2011-07-26","15.2900","15.3200","15.4400","15.1000","0.0300","0.1962","15.2900"
"002561.SZ","Ðì¼Ò»ã","2011-07-27","15.3700","15.5000","15.5500","15.2200","0.1800","1.1749","15.3200"
"002561.SZ","Ðì¼Ò»ã","2011-07-28","15.3600","15.3300","15.3900","15.1900","-0.1700","-1.0968","15.5000"
"002561.SZ","Ðì¼Ò»ã","2011-07-29","15.3300","15.2500","15.4500","15.2500","-0.0800","-0.5219","15.3300"
"002561.SZ","Ðì¼Ò»ã","2011-08-01","15.2000","15.4600","15.5500","15.1700","0.2100","1.3770","15.2500"
"002561.SZ","Ðì¼Ò»ã","2011-08-02","15.5000","15.3700","15.5500","15.0200","-0.0900","-0.5821","15.4600"
"002561.SZ","Ðì¼Ò»ã","2011-08-03","15.2900","15.6700","15.6900","15.1100","0.3000","1.9519","15.3700"
"002561.SZ","Ðì¼Ò»ã","2011-08-04","15.9600","16.6200","17.2000","15.9600","0.9500","6.0625","15.6700"
"002561.SZ","Ðì¼Ò»ã","2011-08-05","16.0000","16.2000","16.4000","15.6900","-0.4200","-2.5271","16.6200"
"002561.SZ","Ðì¼Ò»ã","2011-08-08","16.0000","15.1000","16.0000","14.7000","-1.1000","-6.7901","16.2000"
"002561.SZ","Ðì¼Ò»ã","2011-08-09","14.6000","15.2800","15.5800","14.4200","0.1800","1.1920","15.1000"
"002561.SZ","Ðì¼Ò»ã","2011-08-10","15.6500","15.3800","15.7500","15.3300","0.1000","0.6545","15.2800"
"002561.SZ","Ðì¼Ò»ã","2011-08-11","15.0100","16.2000","16.2600","15.0100","0.8200","5.3316","15.3800"
"002561.SZ","Ðì¼Ò»ã","2011-08-12","16.3500","16.2100","16.8800","16.2000","0.0100","0.0617","16.2000"
"002561.SZ","Ðì¼Ò»ã","2011-08-15","16.2000","16.4900","16.6600","16.1800","0.2800","1.7273","16.2100"
"002561.SZ","Ðì¼Ò»ã","2011-08-16","16.5300","16.6700","16.8500","16.3800","0.1800","1.0916","16.4900"
"002561.SZ","Ðì¼Ò»ã","2011-08-17","16.5700","16.5700","16.7700","16.4700","-0.1000","-0.5999","16.6700"
"002561.SZ","Ðì¼Ò»ã","2011-08-18","16.5400","16.1500","16.6600","16.0700","-0.4200","-2.5347","16.5700"
"002561.SZ","Ðì¼Ò»ã","2011-08-19","15.7400","15.8300","16.0400","15.6100","-0.3200","-1.9814","16.1500"
"002561.SZ","Ðì¼Ò»ã","2011-08-22","15.9400","16.1600","16.2800","15.8500","0.3300","2.0846","15.8300"
"002561.SZ","Ðì¼Ò»ã","2011-08-23","16.1600","16.6200","16.6200","16.1300","0.4600","2.8465","16.1600"
"002561.SZ","Ðì¼Ò»ã","2011-08-24","16.7000","16.9700","17.2900","16.6200","0.3500","2.1059","16.6200"
"002561.SZ","Ðì¼Ò»ã","2011-08-25","16.9100","17.0800","17.1900","16.7200","0.1100","0.6482","16.9700"
"002561.SZ","Ðì¼Ò»ã","2011-08-26","17.0800","17.0800","17.0800","17.0800","","","17.0800"
"002561.SZ","Ðì¼Ò»ã","2011-08-29","17.1000","16.6400","17.1400","16.5000","-0.4400","-2.5761","17.0800"
"002561.SZ","Ðì¼Ò»ã","2011-08-30","16.6800","16.6600","17.1800","16.6500","0.0200","0.1202","16.6400"
"002561.SZ","Ðì¼Ò»ã","2011-08-31","16.6500","16.5600","16.8000","16.4800","-0.1000","-0.6002","16.6600"
"002561.SZ","Ðì¼Ò»ã","2011-09-01","16.6100","16.7800","17.0000","16.6100","0.2200","1.3285","16.5600"
"002561.SZ","Ðì¼Ò»ã","2011-09-02","16.7100","16.4100","16.7300","16.3500","-0.3700","-2.2050","16.7800"
"002561.SZ","Ðì¼Ò»ã","2011-09-05","16.2500","15.9800","16.2500","15.9600","-0.4300","-2.6204","16.4100"
"002561.SZ","Ðì¼Ò»ã","2011-09-06","15.8000","16.0900","16.0900","15.7100","0.1100","0.6884","15.9800"
"002561.SZ","Ðì¼Ò»ã","2011-09-07","16.1600","16.5900","16.6000","16.1500","0.5000","3.1075","16.0900"
"002561.SZ","Ðì¼Ò»ã","2011-09-08","16.7328","16.2331","16.7328","16.2229","-0.3569","-2.1512","16.5900"
"002561.SZ","Ðì¼Ò»ã","2011-09-09","16.2229","16.1006","16.4370","16.1006","-0.1326","-0.8166","16.2331"
"002561.SZ","Ðì¼Ò»ã","2011-09-13","15.8558","15.5193","15.8558","15.4072","-0.5812","-3.6099","16.1006"
"002561.SZ","Ðì¼Ò»ã","2011-09-14","15.6315","15.7539","15.7743","15.3970","0.2345","1.5112","15.5193"
"002561.SZ","Ðì¼Ò»ã","2011-09-15","15.8049","15.5601","15.8762","15.5601","-0.1937","-1.2298","15.7539"
"002561.SZ","Ðì¼Ò»ã","2011-09-16","15.6315","15.6417","15.7845","15.6213","0.0816","0.5242","15.5601"
"002561.SZ","Ðì¼Ò»ã","2011-09-19","15.6927","15.2033","15.6927","15.1931","-0.4385","-2.8031","15.6417"
"002561.SZ","Ðì¼Ò»ã","2011-09-20","15.2746","15.3766","15.4990","15.1931","0.1733","1.1402","15.2033"
"002561.SZ","Ðì¼Ò»ã","2011-09-21","15.3766","15.8864","15.8864","15.3154","0.5098","3.3157","15.3766"
"002561.SZ","Ðì¼Ò»ã","2011-09-22","15.7947","15.4072","15.8252","15.3970","-0.4792","-3.0167","15.8864"
"002561.SZ","Ðì¼Ò»ã","2011-09-23","15.0911","15.4072","15.4174","15.0707","0.0000","0.0000","15.4072"
"002561.SZ","Ðì¼Ò»ã","2011-09-26","15.2950","15.3052","15.4888","15.2746","-0.1020","-0.6618","15.4072"
"002561.SZ","Ðì¼Ò»ã","2011-09-27","15.3766","15.4072","15.4990","15.2746","0.1020","0.6662","15.3052"
"002561.SZ","Ðì¼Ò»ã","2011-09-28","15.5092","15.1625","15.6009","15.1625","-0.2447","-1.5884","15.4072"
"002561.SZ","Ðì¼Ò»ã","2011-09-29","15.1115","14.8872","15.1421","14.8464","-0.2753","-1.8157","15.1625"
"002561.SZ","Ðì¼Ò»ã","2011-09-30","14.9381","14.7138","15.0707","14.5813","-0.1733","-1.1644","14.8872"
"002561.SZ","Ðì¼Ò»ã","2011-10-10","14.8362","14.5201","14.8362","14.5099","-0.1937","-1.3167","14.7138"
"002561.SZ","Ðì¼Ò»ã","2011-10-11","14.8770","14.3059","14.9891","14.1836","-0.2141","-1.4747","14.5201"
"002561.SZ","Ðì¼Ò»ã","2011-10-12","14.3263","14.7852","14.8362","14.2550","0.4792","3.3500","14.3059"
"002561.SZ","Ðì¼Ò»ã","2011-10-13","14.7648","14.8974","14.9381","14.6628","0.1122","0.7586","14.7852"
"002561.SZ","Ðì¼Ò»ã","2011-10-14","14.8464","14.8260","14.8770","14.6526","-0.0714","-0.4791","14.8974"
"002561.SZ","Ðì¼Ò»ã","2011-10-17","14.8260","15.0197","15.0197","14.8056","0.1937","1.3067","14.8260"
"002561.SZ","Ðì¼Ò»ã","2011-10-18","14.8872","14.6118","14.9891","14.5813","-0.4079","-2.7155","15.0197"
"002561.SZ","Ðì¼Ò»ã","2011-10-19","14.6220","14.6220","14.7648","14.4895","0.0102","0.0698","14.6118"
"002561.SZ","Ðì¼Ò»ã","2011-10-20","14.5609","14.0612","14.5609","13.8879","-0.5608","-3.8354","14.6220"
"002561.SZ","Ðì¼Ò»ã","2011-10-21","14.0612","13.8777","14.1326","13.8675","-0.1835","-1.3053","14.0612"
"002561.SZ","Ðì¼Ò»ã","2011-10-24","13.9695","14.1530","14.2244","13.6636","0.2753","1.9838","13.8777"
"002561.SZ","Ðì¼Ò»ã","2011-10-25","14.1428","14.4487","14.4589","13.9185","0.2957","2.0893","14.1530"
"002561.SZ","Ðì¼Ò»ã","2011-10-26","14.3263","14.4793","14.7036","14.2856","0.0306","0.2117","14.4487"
"002561.SZ","Ðì¼Ò»ã","2011-10-27","14.6016","14.4181","14.7036","14.3569","-0.0612","-0.4225","14.4793"
"002561.SZ","Ðì¼Ò»ã","2011-10-28","14.6118","14.6730","14.7036","14.4793","0.2549","1.7680","14.4181"
"002561.SZ","Ðì¼Ò»ã","2011-10-31","14.6730","14.7138","14.7648","14.6118","0.0408","0.2780","14.6730"
"002561.SZ","Ðì¼Ò»ã","2011-11-01","14.6628","14.6016","14.8056","14.5099","-0.1122","-0.7623","14.7138"
"002561.SZ","Ðì¼Ò»ã","2011-11-02","14.3263","14.7444","14.7444","14.2957","0.1428","0.9777","14.6016"
"002561.SZ","Ðì¼Ò»ã","2011-11-03","14.7546","14.8158","15.0707","14.7444","0.0714","0.4841","14.7444"
"002561.SZ","Ðì¼Ò»ã","2011-11-04","14.9483","14.9177","14.9891","14.7852","0.1020","0.6882","14.8158"
"002561.SZ","Ðì¼Ò»ã","2011-11-07","14.8872","14.9483","15.2134","14.8158","0.0306","0.2051","14.9177"
"002561.SZ","Ðì¼Ò»ã","2011-11-08","14.9177","14.7444","15.0401","14.6934","-0.2039","-1.3643","14.9483"
"002561.SZ","Ðì¼Ò»ã","2011-11-09","14.7546","14.9381","14.9381","14.5813","0.1937","1.3140","14.7444"
"002561.SZ","Ðì¼Ò»ã","2011-11-10","14.7852","14.7648","14.9279","14.6934","-0.1733","-1.1604","14.9381"
"002561.SZ","Ðì¼Ò»ã","2011-11-11","14.7240","14.7546","14.9381","14.7036","-0.0102","-0.0691","14.7648"
"002561.SZ","Ðì¼Ò»ã","2011-11-14","14.8158","15.0503","15.1013","14.8158","0.2957","2.0041","14.7546"
"002561.SZ","Ðì¼Ò»ã","2011-11-15","14.9891","15.1217","15.1319","14.9279","0.0714","0.4743","15.0503"
"002561.SZ","Ðì¼Ò»ã","2011-11-16","15.1523","14.7138","15.1625","14.6016","-0.4079","-2.6972","15.1217"
"002561.SZ","Ðì¼Ò»ã","2011-11-17","14.7138","14.6628","14.8158","14.6016","-0.0510","-0.3465","14.7138"
"002561.SZ","Ðì¼Ò»ã","2011-11-18","14.5405","14.2244","14.6220","14.1734","-0.4385","-2.9903","14.6628"
"002561.SZ","Ðì¼Ò»ã","2011-11-21","14.1836","14.2448","14.3161","14.0816","0.0204","0.1434","14.2244"
"002561.SZ","Ðì¼Ò»ã","2011-11-22","14.1326","14.2448","14.2448","14.0408","0.0000","0.0000","14.2448"
"002561.SZ","Ðì¼Ò»ã","2011-11-23","14.2754","14.0918","14.3161","14.0918","-0.1530","-1.0737","14.2448"
"002561.SZ","Ðì¼Ò»ã","2011-11-24","14.0510","14.1734","14.2346","13.9185","0.0816","0.5789","14.0918"
"002561.SZ","Ðì¼Ò»ã","2011-11-25","14.2040","14.1326","14.2652","14.0714","-0.0408","-0.2878","14.1734"
"002561.SZ","Ðì¼Ò»ã","2011-11-28","14.1632","14.2244","14.2652","14.0612","0.0918","0.6494","14.1326"
"002561.SZ","Ðì¼Ò»ã","2011-11-29","14.2754","14.4385","14.4589","14.2754","0.2141","1.5054","14.2244"
"002561.SZ","Ðì¼Ò»ã","2011-11-30","14.3875","13.7961","14.4385","13.6839","-0.6424","-4.4492","14.4385"
"002561.SZ","Ðì¼Ò»ã","2011-12-01","14.1224","14.0102","14.2652","13.9796","0.2141","1.5521","13.7961"
"002561.SZ","Ðì¼Ò»ã","2011-12-02","13.9593","13.7859","13.9593","13.6737","-0.2243","-1.6012","14.0102"
"002561.SZ","Ðì¼Ò»ã","2011-12-05","13.7349","13.4494","13.8267","13.4494","-0.3365","-2.4408","13.7859"
"002561.SZ","Ðì¼Ò»ã","2011-12-06","13.4392","13.5004","13.5616","13.4188","0.0510","0.3791","13.4494"
"002561.SZ","Ðì¼Ò»ã","2011-12-07","13.5412","13.5208","13.6126","13.5004","0.0204","0.1511","13.5004"
"002561.SZ","Ðì¼Ò»ã","2011-12-08","13.5310","13.5616","13.6636","13.3577","0.0408","0.3017","13.5208"
"002561.SZ","Ðì¼Ò»ã","2011-12-09","13.5412","13.4086","13.5922","13.3577","-0.1530","-1.1278","13.5616"
"002561.SZ","Ðì¼Ò»ã","2011-12-12","13.5208","13.3169","13.5208","13.2761","-0.0918","-0.6844","13.4086"
"002561.SZ","Ðì¼Ò»ã","2011-12-13","13.3067","12.7764","13.3067","12.7459","-0.5404","-4.0582","13.3169"
"002561.SZ","Ðì¼Ò»ã","2011-12-15","12.6439","12.3074","12.6439","12.2564","-0.2753","-2.1880","12.5827"
"002561.SZ","Ðì¼Ò»ã","2011-12-16","12.3890","12.6133","12.6133","12.2972","0.3059","2.4855","12.3074"
"002561.SZ","Ðì¼Ò»ã","2011-12-19","12.4501","12.4705","12.5419","12.1341","-0.1428","-1.1318","12.6133"
"002561.SZ","Ðì¼Ò»ã","2011-12-20","12.4298","12.5215","12.6337","12.3890","0.0510","0.4088","12.4705"
"002561.SZ","Ðì¼Ò»ã","2011-12-21","12.5827","12.3482","12.6541","12.3482","-0.1733","-1.3844","12.5215"
"002561.SZ","Ðì¼Ò»ã","2011-12-22","12.2462","11.9301","12.2870","11.7262","-0.4181","-3.3856","12.3482"
"002561.SZ","Ðì¼Ò»ã","2011-12-23","11.9301","11.9811","12.1239","11.8281","0.0510","0.4274","11.9301"
"002561.SZ","Ðì¼Ò»ã","2011-12-26","11.9811","12.0015","12.1544","11.8893","0.0204","0.1702","11.9811"
"002561.SZ","Ðì¼Ò»ã","2011-12-27","12.0015","11.8587","12.0321","11.7874","-0.1428","-1.1895","12.0015"
"002561.SZ","Ðì¼Ò»ã","2011-12-28","11.8281","11.5222","11.8893","11.4203","-0.3365","-2.8375","11.8587"
"002561.SZ","Ðì¼Ò»ã","2011-12-29","11.5019","11.4101","11.5936","11.3183","-0.1122","-0.9735","11.5222"
"002561.SZ","Ðì¼Ò»ã","2011-12-30","11.4713","11.7262","11.7466","11.4203","0.3161","2.7703","11.4101"
"002561.SZ","Ðì¼Ò»ã","2012-01-04","12.0321","12.3380","12.7459","12.0219","0.6118","5.2174","11.7262"
"002561.SZ","Ðì¼Ò»ã","2012-01-05","12.0423","12.4400","12.9192","11.8791","0.1020","0.8264","12.3380"
"002561.SZ","Ðì¼Ò»ã","2012-01-06","12.3584","12.5623","12.7357","12.0423","0.1224","0.9836","12.4400"
"002561.SZ","Ðì¼Ò»ã","2012-01-09","12.5623","12.9702","12.9906","12.3992","0.4079","3.2468","12.5623"
"002561.SZ","Ðì¼Ò»ã","2012-01-10","12.8478","13.3780","13.4902","12.6949","0.4079","3.1447","12.9702"
"002561.SZ","Ðì¼Ò»ã","2012-01-11","13.3373","13.2659","13.4596","13.1333","-0.1122","-0.8384","13.3780"
"002561.SZ","Ðì¼Ò»ã","2012-01-12","13.1843","13.2047","13.5106","13.1741","-0.0612","-0.4612","13.2659"
"002561.SZ","Ðì¼Ò»ã","2012-01-13","13.1945","12.4400","13.2557","12.3380","-0.7648","-5.7915","13.2047"
